4fa8054781a4c382,4405052
b37f763ae67d0888,494555
7e8584b0f487cb9e,2371584
86638230febe21c4,949267
249086e72671397d,6541758
3c2fad96113ca97e,8523633
c9e409f562248252,1439556
63ed20ef9abd046c,877228
4ce684871c147d4c,127469
8d0cbf68276262bb,458293
51c5d8d5d9cd87ca,2537518
0199bc3e1db115d0,1513679
6d03c35a6ff2c268,91205
0bc9342cba0a3088,3176139
b0813c5f9be81380,559513
7f7beb2c459f3420,111899
13ac71f3f9be39b1,947200
227ec002dd50286f,611505
6642993a76366217,60267
82af8aeb62a3e757,1300854
056b813c61869a61,106501
4f03a79f647f9883,3559111
6e25a4e7f2da24e6,2081274
af2d5315e4ce8db3,4008513
8cbfd00eecc16846,149725
79093b08590db299,6578531
14d56131d1f836a9,118549
0310fbeb641f3af8,79317
5898b47d910e5e0a,13266188
9c9ab580e3583492,1092032
32ae9bc90b0df9fb,2394637
9cb5dd731f88c023,406076
09d5c268663a47e2,806284
e037e37abcfcd53b,14385487
02177f2e5840b23d,2163497
3391efee60ae14bb,864309
23732e1b3cc16a14,3519477
87f7197784f2a4dd,4075700
568b088fefea3046,2170446
398d76016e6cb184,5031334
ead1bb5973274ab7,6656732
6e05b3c3486e10e6,4955708
6a533a3cd2097b84,2236434
999cc9b521260d99,1113368
0710345630c6468c,129365
98e556200eb17a33,1280356
86cb93851527698a,181659
348a16712cd2f283,1453443
f66870e06e21929b,177436
9616f5f26b76b4b4,2690205
f1129f2a0b82cc03,2034724
3c93a94eeb2560ec,2671130
df1af3b34f11a0d2,4868529
1b2615e799c4a9b9,4985418
4e556e7dc5d29d02,878710
92e5ae5b065994a7,3095618
cd329b922daa73bb,1578003
fe7ea1bef8260dbf,989769
ddcb4b7478e9917b,2074996
1f7128c6738f39d6,4406059
9ec02b5c0315fcd1,846569
a641e14d7c45348c,2447491
91d0f68a8373800b,189381
bb162f34ede14382,1060641
bc3beb8c4571d5ca,1444438
c7794c8631a8448a,1417505
2935d9f3d6e4f06d,1730903
ec25c2951d6df8e4,14570629
2c749ffa0b73ed67,250862
314a7f3b3ab412da,1957083
d790143ff79e8c36,1790364
c05320aee4d264b5,553637
